soil_type,rainfall_mm,temp_high_c,temp_low_c,humidity_percent,sunlight_hours,wind_speed_kmph,temp_avg_c,recommended_crop
Sandy,64.3,31.9,23.4,43.8,6.9,18.4,27.6,Groundnut
Alluvial,269.3,23.8,5.8,63.7,6.9,7.4,14.8,Wheat
Peaty,149.6,37.8,12.9,37.4,6.5,21.1,25.3,Barley
Black,304.1,36.2,24.9,41,8.4,4.6,30.6,Cotton
Saline,228.9,30.4,19.7,69.6,5,26.3,25,Bajra
Saline,191.9,34.5,24.1,27.2,4.3,4.5,29.3,Tur
Laterite,84.4,27.3,8.3,51.3,11.2,8.6,17.8,Rice
Alluvial,262,20.7,9.4,85.9,11.4,4.6,15,Maize
Laterite,390.4,38.1,8.1,47.8,4.6,4.9,23.1,Chana
Laterite,333.7,22.6,11,50.4,8.4,16.7,16.8,Mustard
Black,42.8,39,19.5,71.7,8.3,21.2,29.2,Wheat
Calcareous,163,31.4,8.3,74.5,7,24.1,19.8,Tur
Alluvial,371.7,26.1,15.5,73.9,8.6,21.5,20.8,Sesame
Loamy,211.2,29.9,10.4,89.9,7.7,12.2,20.2,Tur
Sandy,271.6,30,21.6,25,7.9,17.6,25.8,Sugarcane
Laterite,366.8,20.5,5.1,88.8,10,28,12.8,Soybean
Red,352,27.1,9.5,86.5,8.2,12.9,18.3,Sugarcane
Clayey,210.7,34.8,17.1,79.6,6.6,9.1,26,Tur
Red,186.3,30.2,6.9,51.8,8.7,16.5,18.6,Barley
Black,149.1,24.9,14.3,81,9.1,10.3,19.6,Tur
Black,293.2,26.7,13.7,35.5,9.3,9.3,20.2,Mustard
Peaty,129.1,37.3,22.1,75.4,8.9,23.8,29.7,Bajra
Calcareous,115,30.5,17.5,33,9.3,26.9,24,Tur
Sandy,155.4,30.6,17.8,77.1,6.5,16.1,24.2,Sugarcane
Laterite,87.3,39.2,24,63,7.6,23.8,31.6,Rice
Red,284.1,26.4,24.6,26.9,9.3,7.2,25.5,Sugarcane
Clayey,254.2,29.6,18.1,82.7,10,17.3,23.8,Rice
Black,203.5,36.2,15.4,60.5,7.5,19.8,25.8,Cotton
Black,168.3,35.2,17.2,65.9,6.9,15.7,26.2,Barley
Calcareous,365.4,25.3,12.6,39.8,9.7,5.3,19,Soybean
Clayey,31.1,23,24.7,81,5.8,22.6,23.8,Sugarcane
Clayey,312.3,34,19.1,58.2,4.1,25.5,26.6,Maize
Calcareous,362.7,25.2,10.8,49.5,7.8,19.8,18,Mustard
Black,189.6,38.5,6.2,57.4,5.4,6.7,22.4,Bajra
Sandy,229.3,22.6,5.9,69.2,7,4.1,14.2,Sesame
Alluvial,378.9,26.4,9.1,68.7,6.3,10.4,17.8,Mustard
Alluvial,100.7,21.1,9.7,45,10.2,3,15.4,Tur
Calcareous,217.7,34.1,13.3,47,6.7,25.5,23.7,Sugarcane
Clayey,200.4,37.8,9.3,59.4,9.1,21.7,23.5,Rice
Laterite,118.2,32.7,17.6,84.7,9.4,17.8,25.2,Maize
Calcareous,331.1,38.8,9.2,72.2,7.7,26.9,24,Mustard
Sandy,361.8,22.6,8.8,47.3,4.6,5.1,15.7,Wheat
Calcareous,317.1,21.8,14.4,43.6,9.6,22,18.1,Sugarcane
Saline,94.2,36.8,22.8,56.7,4.6,6.1,29.8,Wheat
Red,53,37.1,14.4,80.9,4.8,3.7,25.8,Cotton
Clayey,250.1,36.6,13.3,20.6,5.6,5.7,25,Sugarcane
Peaty,41.7,36,16.6,69.7,6.2,28.6,26.3,Chana
Peaty,275.7,27.2,10.1,40.6,10.8,14.3,18.6,Groundnut
Clayey,221.6,24.3,12.1,34.6,9.4,3.4,18.2,Sugarcane
Sandy,271.9,38.6,9.3,20.8,7.1,18.3,24,Chana
Saline,244.3,26.1,16.4,82.8,11.8,7.6,21.2,Cotton
Saline,180.6,28,18.9,83.9,5.9,2.2,23.4,Soybean
Black,96.3,34,18.5,24.3,8.9,23.2,26.2,Barley
Red,136.2,25.9,10.1,56.5,10.8,6.3,18,Chana
Alluvial,219.3,36.4,20.6,30.7,10.4,28.4,28.5,Wheat
Loamy,267.7,21.4,10.1,73.1,4.7,18.6,15.8,Groundnut
Sandy,316.2,35.8,8,66.6,9.6,4.4,21.9,Sugarcane
Loamy,311.5,32,12,40.8,6.1,8.1,22,Maize
Loamy,389.6,31.5,17,28.2,6.8,19.1,24.2,Mustard
Clayey,128.6,29.2,7.8,78.2,7.9,11.5,18.5,Rice
Peaty,47,25.5,18,67.2,10.3,16.9,21.8,Soybean
Peaty,151.3,29.3,22.3,20.5,5.3,24.4,25.8,Sugarcane
Alluvial,302.5,29,10.9,64,4.9,24.2,20,Bajra
Clayey,186.5,31.7,14,76.7,5.2,21.5,22.8,Sesame
Loamy,330.8,25.6,9.6,61.4,5.7,26.8,17.6,Chana
Laterite,228.7,21.6,12.2,49.7,4.5,7.6,16.9,Mustard
Peaty,373.3,22.9,5.4,60.9,11.4,7,14.2,Sugarcane
Sandy,380.2,34,24.1,63.4,6.6,24.4,29,Sesame
Sandy,46.3,20.4,13.3,64.8,5.4,11,16.8,Rice
Black,193.4,37.1,20.8,87.7,9.1,16.3,29,Sesame
Calcareous,251.7,33.9,7.9,32.5,10.3,22.8,20.9,Maize
Laterite,117.2,35.4,21.2,63.6,10,13.1,28.3,Sesame
Peaty,174.7,36.7,22.2,33.2,9.7,5.6,29.4,Mustard
Saline,277.5,22.5,19.3,34.7,4.4,21,20.9,Maize
Peaty,106.2,36.4,23.1,66.8,10.3,24.9,29.8,Sesame
Black,248.8,30.1,8.3,84.1,8,2.4,19.2,Groundnut
Sandy,285,37.7,14.5,31.1,9.2,17.8,26.1,Chana
Loamy,54.4,37.7,17.4,87.4,11.7,15.1,27.6,Tur
Saline,209.1,20.5,16.9,42.4,10.5,9.3,18.7,Sesame
Clayey,120,27.7,22.2,47.4,10.6,6.5,25,Bajra
Red,295.3,30.5,9.3,30.8,5.5,7.3,19.9,Soybean
Loamy,92,33.6,8.5,63.1,7.8,22.3,21,Cotton
Red,359.1,25.7,10.1,61.7,11.6,17,17.9,Wheat
Laterite,183.8,25,22.8,51,8.7,29.5,23.9,Groundnut
Calcareous,95.2,27.6,23.8,53.3,4.8,8.8,25.7,Barley
Saline,186.4,30,16.4,63.6,9.9,28.8,23.2,Chana
Alluvial,175.3,39,15,60.8,4.3,16.4,27,Wheat
Saline,183,35.2,17.1,46.2,9.9,6.1,26.2,Barley
Peaty,242.5,28.6,17.3,81.9,11,6.1,23,Sugarcane
Sandy,218,21.1,8.4,66.7,7.4,19,14.8,Chana
Peaty,76.9,23.4,18.7,34.4,7.3,25.3,21,Sugarcane
Peaty,44.9,29.1,14,42.4,6.4,22.9,21.6,Mustard
Laterite,297.2,36.3,15.3,75.2,11,20.4,25.8,Rice
Loamy,232.7,27.6,5.6,27.3,8.4,6.8,16.6,Wheat
Alluvial,156.4,30.8,20.3,72.5,8.6,5,25.6,Wheat
Alluvial,327.2,37.8,21.7,45.1,9.3,2,29.8,Rice
Peaty,167.5,38.3,17.4,58.6,6.4,4.9,27.8,Sesame
Red,322.5,24.3,20,39.6,7.5,23.5,22.2,Soybean
Laterite,136.2,20.9,15.5,89.1,9.9,27.1,18.2,Soybean
Peaty,47.7,26.1,17.4,83.4,11.9,8.7,21.8,Mustard
Calcareous,374.4,33.9,12.9,85,4.3,24.3,23.4,Groundnut
Sandy,169.9,39,20.8,32.9,4.3,7.6,29.9,Rice
Loamy,321.2,21.5,14.4,78.9,7.4,9,18,Sesame
Clayey,126.1,20.6,18.6,57.5,9.3,8.3,19.6,Sugarcane
Calcareous,265.6,37.7,17.4,69.6,7.1,3.4,27.6,Sesame
Red,351.9,35,19,35.2,12,7.4,27,Tur
Saline,35.8,39.8,20.7,69.8,5.6,12.5,30.2,Tur
Saline,335.6,27.9,15.3,84,4.1,13.4,21.6,Soybean
Calcareous,237.1,28.3,21.3,38.7,5.5,10.7,24.8,Cotton
Peaty,250.8,23.4,14.9,36.3,11.1,16.4,19.2,Soybean
Clayey,218.8,22.3,24.1,27.3,5.2,12.6,23.2,Sesame
Black,352.3,31.6,20.1,38.7,7.8,29.2,25.8,Cotton
Black,36.5,27.3,8.4,57.5,7.4,24.6,17.8,Chana
Red,119.2,21.6,21.6,78.3,9.3,28.1,21.6,Groundnut
Peaty,352.8,37.7,16,39.5,4.4,17.6,26.8,Barley
Alluvial,305.9,24,24.7,63.5,9.3,21,24.4,Sugarcane
Alluvial,26.7,35,19.4,53.6,6.8,6.7,27.2,Maize
Loamy,216.5,25.6,6.7,40.2,11.4,23.1,16.2,Soybean
Clayey,221.2,36.3,12.9,55.7,10.8,8.6,24.6,Cotton
Clayey,172.3,22.4,15.3,31.8,7.2,6.1,18.8,Chana
Saline,133,35.1,21.8,64.8,11.9,3.2,28.4,Bajra
Laterite,279.1,22,19.6,28.1,4.4,15.2,20.8,Chana
Red,99,28.9,12.4,71.2,10.3,10,20.6,Maize
Black,323.6,34.7,18.1,32.4,7.5,29.6,26.4,Cotton
Red,325.2,23.5,16.5,89.9,7.5,9,20,Chana
Alluvial,177.8,25.7,7.5,77.7,5.4,26.3,16.6,Soybean
Alluvial,127.7,37.3,9.7,44.1,8.1,10.9,23.5,Wheat
Calcareous,127.9,37.7,11.8,49.8,4.7,23,24.8,Soybean
Loamy,203.3,20.9,8.9,38.1,8.9,20.5,14.9,Wheat
Clayey,293.4,23.4,8,73.7,5.9,17.7,15.7,Sesame
Sandy,156.4,22.3,6.2,46.7,9.8,13.7,14.2,Barley
Red,251.8,23.6,22.5,72.9,8.9,20.8,23,Chana
Alluvial,165.3,39.4,10.8,21.3,10,13.4,25.1,Wheat
Laterite,135.7,31,10.8,29.5,10,17.3,20.9,Bajra
Saline,29.4,29.4,9.1,45.5,5.6,18.5,19.2,Barley
Black,21.5,39.7,14.5,27.6,4,9.5,27.1,Mustard
Loamy,106.3,31.1,15.3,62.1,6.9,11.5,23.2,Maize
Laterite,174.4,33.2,9.2,23.6,11.4,2.5,21.2,Tur
Loamy,343.5,26.7,17.2,80.2,8.6,25.9,22,Barley
Calcareous,323.4,27.6,19.5,73.3,9.8,23.2,23.6,Mustard
Sandy,121.5,31.9,12.5,35.1,11,7.1,22.2,Sesame
Alluvial,112.9,21.4,16.7,53.9,11.2,12.1,19,Cotton
Saline,106.4,25.1,15,51.6,8.2,13.8,20,Rice
Laterite,148.9,23.9,8.9,70.7,8.3,11.4,16.4,Sugarcane
Loamy,209.3,20.3,19.6,48.1,10.8,24.4,20,Soybean
Clayey,186.7,30.7,21,22.3,10.5,22.3,25.8,Cotton
Calcareous,102.9,31.2,18,39.2,9.6,23.5,24.6,Maize
Clayey,69.6,27.7,11.5,52.6,8.8,27.3,19.6,Rice
Saline,24.8,25.4,23.5,88.2,8.9,18.7,24.4,Soybean
Laterite,78.5,33,14.1,81.7,6.9,19.2,23.6,Cotton
Calcareous,288,22.7,10.3,32.7,10.7,22.2,16.5,Sugarcane
Laterite,112.6,30.4,13.2,70.6,8.9,21.1,21.8,Cotton
Alluvial,198.1,35.4,18.8,85.6,5.8,26.4,27.1,Wheat
Peaty,244.7,23.3,21.9,20.6,5.9,23.6,22.6,Chana
Calcareous,357,35.1,12.1,70.5,10.9,5.4,23.6,Sesame
Clayey,357.8,35.2,9.7,52.2,9,28,22.5,Rice
Saline,303.4,21.2,17.5,67.6,7.2,21.1,19.4,Bajra
Sandy,33.4,20.4,23.4,62.4,5.5,5.6,21.9,Tur
Alluvial,238.5,39.5,8.7,88.9,8.9,23.6,24.1,Wheat
Peaty,318.9,23.9,21.1,40.2,5.5,12,22.5,Wheat
Sandy,26.6,36.4,14.5,75,7.8,24.6,25.4,Cotton
Black,228.9,31.2,21,36.4,9.4,28.8,26.1,Cotton
Alluvial,346,25.3,15.1,50.5,8.5,9.1,20.2,Sugarcane
Saline,200.2,22.6,12.5,88.3,11.4,26,17.6,Sugarcane
Loamy,21.6,29.9,18.9,73.6,4.3,23.7,24.4,Barley
Calcareous,24.2,28.1,23,42.1,6.2,20.8,25.6,Barley
Laterite,178.3,34,11.4,63.4,4.5,12.8,22.7,Rice
Saline,78.9,38.1,14.2,23.5,5.6,5.1,26.2,Rice
Calcareous,272.5,36.1,9.6,38.6,5,15.5,22.8,Wheat
Sandy,289.3,25.5,8.7,70.3,9.9,5,17.1,Soybean
Laterite,87.6,37.6,20.6,59.9,7,16,29.1,Groundnut
Red,357.6,36.7,9,52.9,11.4,25,22.8,Bajra
Clayey,187.9,38.6,20.9,68.4,4.2,29.9,29.8,Sugarcane
Black,74.3,29.2,13.6,47.9,9.2,7.5,21.4,Chana
Alluvial,310.4,35.4,24.9,21.8,11.8,7.8,30.2,Barley
Saline,320.2,31.8,8.9,50.9,5.4,24.7,20.4,Sesame
Black,262.9,26.2,6.9,83.1,7.5,15.1,16.6,Sesame
Loamy,344.3,39.9,6.5,80,9.6,27.6,23.2,Tur
Calcareous,300.2,20.8,21.7,48.6,9.1,23.5,21.2,Chana
Calcareous,355.2,23.2,13.8,21.6,8.5,22.6,18.5,Groundnut
Saline,184.9,37.9,5.1,64.5,6.6,4.9,21.5,Soybean
Peaty,304.1,21.2,22.5,71.9,9.8,3,21.8,Barley
Peaty,399.9,37.7,22.5,40.6,9.2,10.9,30.1,Bajra
Red,295.5,34.3,21.1,53.4,5.3,8.1,27.7,Soybean
Clayey,63.4,20.7,10,89.4,11.7,21.9,15.4,Sesame
Laterite,217,28.6,12.5,60.3,8.4,14.6,20.6,Rice
Loamy,243.2,35.1,19.9,44.6,8.2,16.6,27.5,Maize
Black,86.2,31.7,14.8,63.9,10.8,24.8,23.2,Groundnut
Peaty,385.9,38.7,8.1,32.6,9.1,15.4,23.4,Rice
Red,86.7,37.4,9.9,33.9,4.6,17.3,23.6,Barley
Red,87.5,26.7,24.5,84.7,8.1,25.6,25.6,Maize
Saline,367.8,21.7,8,36.7,10.2,14.1,14.8,Sesame
Loamy,196.8,38.9,19.5,41.8,9.6,4.3,29.2,Maize
Sandy,44,30.3,14.6,58.1,11.8,16.6,22.4,Groundnut
Laterite,247.3,21.5,20,83,4.2,18.2,20.8,Rice
Clayey,248.7,36.3,18.2,74.7,6.1,16.3,27.2,Groundnut
Alluvial,44.5,37.4,13.8,23.1,8.4,9.2,25.6,Soybean
Saline,389.6,32.8,12.1,68.5,9,8.3,22.4,Mustard
Laterite,226.7,29,20.1,55.3,6.2,12.4,24.6,Wheat
Alluvial,232.7,33.2,11.5,53.3,10.6,6.7,22.4,Wheat
Alluvial,217.6,34.1,20.8,68.4,5.3,20.6,27.4,Wheat
Loamy,252.1,37.9,18.6,33.7,4,19.2,28.2,Soybean
Loamy,120.4,39.1,16.6,88.7,11.6,19.7,27.8,Maize
Black,129.2,30.3,12.4,65.2,7.1,8.3,21.4,Maize
Red,214.3,36,9.1,45.6,11.7,8.9,22.6,Groundnut
Laterite,326.5,39.3,19.2,62,6.2,24,29.2,Rice
Saline,38.9,23,6.8,35.2,4.5,21.3,14.9,Groundnut
Calcareous,249.3,20.4,24.4,64.4,10.2,26.5,22.4,Bajra
Saline,326.6,37.4,24.6,22,10.7,13.3,31,Soybean
Black,79.6,23.9,7.6,43.9,7.9,17.3,15.8,Bajra
Clayey,25.7,20.8,7.1,72.3,4.6,22.7,14,Barley
Red,138.8,23.2,13.3,76.6,9.2,29.3,18.2,Sugarcane
Calcareous,243.5,27.7,24.3,37.7,5.5,29.7,26,Maize
Peaty,72.5,24.4,13,57.8,10.8,30,18.7,Wheat
Clayey,181.9,26.1,12.3,57,6.2,26.9,19.2,Mustard
Loamy,229.9,39.5,19.1,49.5,10.8,19.9,29.3,Maize
Alluvial,247.6,34.1,8.6,36,7.4,2.2,21.4,Wheat
Peaty,124.3,34.2,12.3,69.2,8.8,21.6,23.2,Groundnut
Saline,172,21.9,10.8,37.7,10.3,8.7,16.4,Sugarcane
Saline,315.8,34.6,17,83.8,4.3,3.6,25.8,Mustard
Loamy,377.7,34.8,8.3,57,10.6,21.5,21.5,Wheat
Black,347.5,33.2,16,80.9,5.1,23.2,24.6,Wheat
Laterite,234.4,24.6,22.2,40.4,6.9,20.5,23.4,Tur
Peaty,175.9,28.5,15.3,76.5,7.8,12.2,21.9,Barley
Peaty,146.5,36.9,18.7,28,11.2,16.3,27.8,Wheat
Sandy,67.5,33.4,6.5,73.7,4.2,28.2,20,Bajra
Clayey,60.5,34.7,14,47.1,8.5,22.4,24.4,Maize
Red,281.6,31.7,6.9,52.9,9.1,16.1,19.3,Bajra
Clayey,118.7,29,17,31.7,6.5,18.6,23,Mustard
Laterite,116.8,35.2,10.6,21.3,6.3,28,22.9,Soybean
Saline,399.3,21.4,10.7,66.6,7.9,13,16,Mustard
Saline,91.4,33.5,6.5,61.1,5.5,4.9,20,Soybean
Saline,76.3,39.9,11.2,63.6,7.7,11.1,25.5,Barley
Sandy,57.5,35.6,15.1,37.9,10.1,13.6,25.4,Chana
Saline,240.3,25.8,16.7,36.7,10.8,9.6,21.2,Sugarcane
Laterite,258.6,25.6,6.3,78.1,7.1,16.8,16,Rice
Loamy,158.8,33.3,18,73.3,8.9,10.5,25.6,Maize
Red,223.5,37.9,14.8,43.6,4,4.9,26.4,Groundnut
Laterite,319.6,31.6,15.7,64.6,8.4,7.3,23.6,Rice
Red,330.9,30.5,21.7,78,11.8,27.7,26.1,Rice
Laterite,384,23.2,11.8,82.2,6.5,19.6,17.5,Cotton
Saline,333.2,34.3,8.5,20.4,8.8,10.8,21.4,Chana
Loamy,234.6,34,16,76.9,10.1,12.3,25,Maize
Peaty,88.3,39.3,23.9,44.5,8.9,15.8,31.6,Wheat
Clayey,57.9,26,15.4,70.3,7.3,20.8,20.7,Mustard
Alluvial,40.7,35.1,21.6,46,5.2,18.3,28.4,Sugarcane
Loamy,273.3,28.7,20.1,62.4,7.7,28.1,24.4,Maize
Peaty,326.9,31.2,15.4,65.3,6.4,19.5,23.3,Groundnut
Black,213.3,36.3,18,48.3,9.6,27.5,27.2,Cotton
Laterite,40.8,24.4,13.1,55.9,7.5,2.2,18.8,Tur
Black,223.5,26.9,15.6,70.8,10.8,26.9,21.2,Maize
Peaty,375.6,35.5,15.1,53.3,5.5,22.2,25.3,Rice
Loamy,247.1,31.4,19.2,21,7.3,6.8,25.3,Maize
Laterite,327.6,21.8,13.2,20.9,8.5,9.4,17.5,Barley
Alluvial,324.1,28.6,7,66.3,5,17.2,17.8,Wheat
Saline,374.2,31.7,20.8,79.3,8.7,5.5,26.2,Rice
Laterite,312.7,38.2,18.7,75,6.3,24,28.4,Rice
Laterite,304.1,23.8,24,41.7,5.8,24.2,23.9,Sugarcane
Loamy,109,36.1,13.6,53,5.1,10.4,24.8,Maize
Loamy,42.8,22.6,6.6,36.4,6.8,4,14.6,Barley
Peaty,216.7,24.8,7.4,89.2,11.4,29.7,16.1,Sugarcane
Calcareous,67.3,24.9,20.5,38.2,4.2,9,22.7,Rice
Laterite,385.6,37.5,6.4,49.1,10.8,3.9,22,Cotton
Clayey,130.2,24,23.2,67.7,7.2,11.2,23.6,Bajra
Laterite,344.1,35.7,10.6,81.3,8.5,29.1,23.2,Rice
Peaty,167.3,29.2,23,23.6,8.1,24.2,26.1,Rice
Red,142.8,40,20.5,41.1,11.4,15.4,30.2,Maize
Black,375.4,36.8,22.4,59.8,10.2,10.5,29.6,Cotton
Saline,158.1,34.8,9.3,63.3,11.9,13.9,22,Cotton
Calcareous,168.3,37.4,16.9,24.9,10.4,2.5,27.2,Cotton
Alluvial,60.3,32.7,6.9,66.5,6.4,22.1,19.8,Soybean
Alluvial,274.8,36.9,9,57,11.7,4.8,23,Wheat
Alluvial,129.8,25.2,11.2,77.9,11.9,16.5,18.2,Wheat
Loamy,242.5,22,19.8,35.6,5,17.8,20.9,Cotton
Alluvial,244.7,32.3,5.5,33.7,11.2,2,18.9,Maize
Saline,293.3,28.7,23.1,75.5,9.3,29.4,25.9,Cotton
Black,303.2,28.5,6.4,69.3,11.4,10.5,17.4,Chana
Alluvial,215.5,30.5,12.5,75.4,11.3,4.2,21.5,Wheat
Laterite,145.8,27.2,6.6,74.7,11.1,25.9,16.9,Tur
Laterite,338.2,32.5,20.4,27.3,11.1,6.3,26.4,Tur
Loamy,137.7,20.6,7.8,39.5,4.9,2.7,14.2,Sugarcane
Saline,212.9,39.4,22.7,38.2,5.1,15.9,31,Wheat
Black,172.5,38.5,15.6,85.4,4.9,5.6,27,Soybean
Calcareous,344.9,38.7,24,54.1,4.7,29.5,31.4,Mustard
Peaty,184.1,27.3,10.8,27.8,6.8,2.3,19,Wheat
Black,166.7,30.6,14.1,40.3,9.5,3.4,22.4,Groundnut
Peaty,282.1,39.1,18.9,81,6.8,25.3,29,Rice
Red,248.9,38,21.6,79.3,9.8,8.7,29.8,Groundnut
Peaty,60.8,35.8,13.4,83,10.6,27.5,24.6,Groundnut
Clayey,213.1,28.1,22.8,47.2,9.3,10.7,25.5,Wheat
Laterite,299.5,31.3,7.4,64.9,7.7,4,19.4,Rice
Saline,397,35.9,19.2,39.5,6.4,2.3,27.6,Wheat
Sandy,259.1,25.5,12,32.7,5,9.9,18.8,Mustard
Loamy,160.7,32.5,7,21.5,7.9,15.3,19.8,Wheat
Clayey,105.9,36.6,12.7,35.6,9.8,2,24.6,Rice
Peaty,351.7,34.1,22.6,62.3,8.4,18.3,28.4,Sugarcane
Alluvial,329.5,29.6,24.6,83.3,9.8,11.3,27.1,Sugarcane
Saline,108.9,31.7,12.9,29.3,6.7,12.9,22.3,Bajra
Clayey,96.2,39.8,22.7,84.3,4.5,9.3,31.2,Chana
Loamy,291.8,32,15.2,44.2,10.2,16.8,23.6,Sugarcane
Laterite,139.7,35.7,19.3,49.9,5.8,8.4,27.5,Rice
Saline,136.4,34.5,5.9,45.5,8.9,5.8,20.2,Chana
Loamy,77.9,34,16.1,48.6,10.4,26.9,25,Barley
Red,120.3,34.3,6.4,38.1,5.1,12.9,20.3,Groundnut
Red,182.5,29.1,10.4,68.9,8.8,4.2,19.8,Maize
Loamy,298.5,29.5,16.3,73.1,9.5,8.4,22.9,Bajra
Clayey,147.8,29.4,21.1,77.6,10,10.7,25.2,Sugarcane
Saline,144.9,20.7,16.2,43.9,5.2,23.6,18.4,Rice
Clayey,128.3,24.8,23.7,73.5,10.6,2.6,24.2,Sesame
Calcareous,201.7,23.1,21.2,64.6,4.8,15.4,22.2,Chana
Peaty,88.6,37.7,8.1,87.1,8.2,13.4,22.9,Sesame
Calcareous,204.5,25.5,12.8,49.7,7.5,29.1,19.2,Mustard
Red,287.6,22.8,18.4,89.5,5.8,7,20.6,Mustard
Laterite,31.3,22.4,23.8,71.8,6.4,19.6,23.1,Sesame
Black,23.7,34,24.8,74.3,5.3,7.7,29.4,Wheat
Peaty,48.5,20.1,20.3,21.8,7.4,17.4,20.2,Wheat
Red,223.6,29.4,16.5,54.8,4.3,17.5,23,Groundnut
Clayey,344.7,22.4,20.1,57,11.1,4.1,21.2,Sesame
Clayey,21.9,37,10.5,22.8,5.3,14.8,23.8,Rice
Clayey,375.9,39.2,10.7,41.8,11.1,14.9,25,Wheat
Laterite,60.4,39.2,18.1,86.9,10.9,10.9,28.6,Chana
Calcareous,340,28.8,22.4,49.8,7.6,9.8,25.6,Sesame
Black,203.5,32.9,24.4,33.1,8,8.3,28.6,Cotton
Clayey,270.6,32,11.8,55.9,6.4,2.2,21.9,Groundnut
Sandy,214.1,27,20.9,22.4,12,2.1,24,Sugarcane
Peaty,201.3,28.9,22,56.1,9.4,18.5,25.4,Groundnut
Saline,337.3,21.3,17.5,61.6,11.6,10.2,19.4,Chana
Sandy,307.2,35.9,12,45,7.3,6.7,24,Cotton
Black,203.7,24.8,17.4,73.4,11.1,21.2,21.1,Soybean
Laterite,62.4,29.2,16.7,29.5,7.6,16.8,23,Wheat
Black,63.9,29.6,17.1,81.5,10.9,27.6,23.4,Chana
Saline,324.6,31.2,17.4,86.9,5,25.3,24.3,Cotton
Peaty,221.2,36.4,21.9,20.1,9.1,22.3,29.2,Tur
Saline,203,33.8,8.4,79,9.4,5.5,21.1,Cotton
Loamy,278.6,33.3,12.3,55.4,9.2,20.7,22.8,Bajra
Peaty,346.4,30.5,16.7,52.3,7.6,21.4,23.6,Barley
Black,259,21.9,10.7,36.7,9.5,23.4,16.3,Cotton
Clayey,309.9,28,24.6,51.3,5.9,9.4,26.3,Barley
Black,310.8,39.1,10.3,86.5,8.8,19.9,24.7,Rice
Black,155.4,39.9,14.4,34.8,8.4,19.3,27.2,Rice
Peaty,124.2,34.6,22.5,32.5,6.5,12.8,28.6,Chana
Loamy,324.4,24.6,6.6,36.9,10.2,20.6,15.6,Cotton
Black,163.3,22,21.4,58.6,4.6,4.4,21.7,Sesame
Sandy,363.3,28.3,16.4,85.1,5.4,20,22.4,Groundnut
Red,46.5,37.1,5.6,60.2,7.8,19,21.4,Chana
Alluvial,42.1,34.4,23.1,37,11.1,7.9,28.8,Sugarcane
Alluvial,372.3,37.7,5.8,50.8,8.6,24.9,21.8,Tur
Black,266.4,32.3,15.3,47.3,10.7,26.5,23.8,Sesame
Sandy,164.2,22.6,6,23.3,8.1,7.9,14.3,Wheat
Clayey,306.9,22.3,6.4,55.7,10.3,4.1,14.4,Bajra
Laterite,275.5,21,22.7,28.8,6.6,18.9,21.8,Bajra
Laterite,221.9,31.3,20.3,79,10.5,15.4,25.8,Rice
Peaty,57.6,24.9,8.9,58.4,7.2,14,16.9,Groundnut
Alluvial,328.6,34.7,17.4,79.1,8.5,23.3,26,Chana
Black,349.1,33.7,20.9,86.9,5.4,29.2,27.3,Cotton
Laterite,85.4,26.4,22.8,86,11.4,15.4,24.6,Chana
Black,343.2,23.5,14.4,27,9.6,2.2,19,Barley
Peaty,353.6,22,22.9,86.1,10.9,18.7,22.4,Bajra
Alluvial,228.8,34.7,15.2,75.7,5.7,20.3,25,Wheat
Saline,269.3,29,18.8,74.4,4.5,25.2,23.9,Soybean
Red,165.3,26.5,24.6,26.3,6.7,7.6,25.6,Groundnut
Red,127.1,37.1,9.7,32.6,8.1,16.7,23.4,Groundnut
Laterite,294.4,31.9,8.4,88.3,10.4,14.5,20.2,Rice
Red,347.5,30.4,11.8,34.9,7.2,20.6,21.1,Maize
Saline,268.5,34.9,8.3,31.8,6.2,3.8,21.6,Sesame
Black,214.4,36.3,10.7,45.4,7,26.8,23.5,Rice
Peaty,80.4,33.7,19.9,83.9,9.6,16.3,26.8,Sesame
Saline,40.3,28.8,14.6,53.3,6.7,26.6,21.7,Chana
Peaty,189.4,27.6,12.5,84.4,11.8,11.5,20,Wheat
Peaty,38.8,35.4,12.4,43.4,5.4,20.3,23.9,Maize
Alluvial,236.3,30.4,8.9,35.9,10,28.8,19.6,Groundnut
Black,165.4,34.1,13.9,54.7,8.7,28.4,24,Cotton
Sandy,307.7,37.8,17.5,63.1,5.9,28.4,27.6,Mustard
Red,136.1,38.3,7.8,47.4,10,3.2,23,Groundnut
Sandy,245.3,25.6,24.5,44.2,7.6,13.3,25,Sugarcane
Alluvial,224.3,23.8,13.9,35.3,9.5,3.7,18.8,Rice
Peaty,21.8,25.2,24,39.3,9.3,10.7,24.6,Rice
Laterite,47.5,35,7.7,67.1,4.9,6.9,21.4,Maize
Red,130.3,27.4,20.3,45.9,10.7,19.4,23.8,Groundnut
Red,355.2,23.5,17.4,25.6,9.5,23.9,20.4,Maize
Black,75.9,22,21.4,29.7,10.2,16.4,21.7,Rice
Loamy,290.1,26.5,17,46.1,7.6,24.3,21.8,Groundnut
Calcareous,389.9,22.7,24.3,84.7,5.6,2.4,23.5,Barley
Calcareous,320.4,23.1,17.5,46.5,6.6,25,20.3,Sesame
Calcareous,112.3,33.7,20.7,24.2,11.2,7,27.2,Sesame
